"ppw" "exp"
"185" 0 "MMP"
"186" 0 "MMP"
"187" -0.107067986029769 "MMP"
"188" 0 "MMP"
"189" -0.107065844670049 "MMP"
"190" 0 "MMP"
"191" -0.10707012738949 "MMP"
"192" -0.107067986029769 "MMP"
"193" 0 "MMP"
"194" -0.107067986029769 "MMP"
"195" -0.10707012738949 "MMP"
"196" -0.446467077664976 "MMP"
"197" -0.339399091635207 "MMP"
"198" 0 "MMP"
"199" -0.339399091635206 "MMP"
"200" -0.107067986029769 "MMP"
"201" -0.339399091635207 "MMP"
"202" -0.214133830699818 "MMP"
"203" -0.107065844670049 "MMP"
"204" -0.107067986029769 "MMP"
"205" 0 "MMP"
"206" -0.107067986029769 "MMP"
"207" -0.214135972059538 "MMP"
"208" -0.107067986029769 "MMP"
"209" 0 "MMP"
"210" -0.107067986029769 "MMP"
"211" -0.107067986029769 "MMP"
"212" 0 "MMP"
"213" -0.10707012738949 "MMP"
"214" 0 "MMP"
"215" -0.446467077664976 "MMP"
"216" -0.446467077664975 "MMP"
"217" 0 "MMP"
"218" -0.107067986029769 "MMP"
"219" 0 "MMP"
"220" -0.214135972059538 "MMP"
"221" -0.321206099449028 "MMP"
"222" -0.339399091635206 "MMP"
"223" -0.125260978215947 "MMP"
"224" -0.232331105605438 "MMP"
"225" 0 "MMP"
"226" -0.339399091635206 "MMP"
"227" -0.10707012738949 "MMP"
"228" 0 "MMP"
"229" -0.107065844670049 "MMP"
"230" 0 "MMP"
"231" -0.232328964245716 "MMP"
"232" 0.107065844670049 "MMP"
"233" -0.107065844670049 "MMP"
"234" -0.107065844670049 "MMP"
"235" -0.446467077664975 "MMP"
"236" 0 "MMP"
"237" -0.339396950275486 "MMP"
"238" -0.107067986029769 "MMP"
"239" -0.446467077664976 "MMP"
"240" 0.107067986029769 "MMP"
"241" -0.446464936305256 "MMP"
"242" -0.321203958089308 "MMP"
"243" -0.339394808915765 "MMP"
"244" -0.214138113419259 "MMP"
"245" -0.107065844670049 "MMP"
"246" 0 "MMP"
