Name	Cusps	OPC	 
2892	1	15.0	
9492	1	10.5	
13374	0	6.75	
18242	1	8.5	
6679	0	9.75	
6200	1	9.25	
16905	1	10.5	
6233	1	21.75	
13044	1	8.25	
927	0	10.0	
18172	0	6.5	
1146	1	25.75	
18673	0	9.75	
13745	1	10.375	
9176	0	8.0	
16336	0	8.0	
3977	1	10.5	
7632	0	9.5	
13947	0	7.5	
18871	0	7.5	
8577	1	15.125	
16437	1	9.5	
18910	1	11.25	
8168	1	17.25	
13826	1	11.75	
7383	1	13.5	
8511	1	10.5	
16257	1	25.0	
16556	1	8.75	
3911	1	10.5	
7654	1	8.75	
18013	0	9.25	
1120	1	9.25	
13125	0	9.5	
6782	0	5.5	
9569	0	10.0	
9110	1	18.5	
1559	0	6.25	
6255	1	13.0	
2969	1	9.5	
13624	1	13.5	
18712	1	8.75	
13514	0	9.5	
18422	1	10.75	
6266	1	11.0	
17284	1	8.5	
9123	0	9.5	
17585	0	9.5	
16864	1	10.5	
18323	0	9.75	
1113	0	10.5	
13215	1	34.25	
616	1	18.5	
16666	0	7.5	
3922	1	9.25	
7667	1	16.0	
8522	1	7.5	
16167	1	9.25	
8039	0	8.75	
17747	0	7.25	
8440	0	9.75	
7705	1	10.5	
3840	0	8.25	
17046	1	12.0	
8197	1	14.75	
9438	1	13.5	
2996	1	16.25	
12435	1	23.75	
1071	0	6.0	
1408	1	9.75	
969	0	8.75	
9041	0	9.5	
17945	1	10.5	
6304	1	8.5	
12334	1	8.0	
9596	1	8.5	
2838	0	8.0	
12004	1	10.25	
16794	0	10.0	
1595	0	9.25	
6337	0	9.25	
6299	0	6.25	
16095	1	20.125	
9072	0	9.0	
12705	1	10.5	
1042	0	9.5	
12907	0	9.75	
7736	1	11.0	
480	1	9.5	
3873	0	9.5	
17477	1	16.875	
16996	1	23.5	
8473	1	14.375	
7698	1	11.5	
743	1	14.0	
17217	1	8.5	
8415	1	12.5	
7287	0	9.5	
12866	1	8.0	
13587	1	9.5	
13286	1	10.5	
7329	0	11.5	
7750	0	9.0	
3815	1	11.25	
17516	1	10.0	
9014	1	10.75	
12165	0	9.5	
1024	0	9.5	
6728	1	10.25	
12664	0	9.5	
658	1	18.0	
6351	0	5.0	
9189	1	12.5	
6362	0	8.25	
18983	0	11.0	
12255	1	10.5	
1017	0	8.5	
17824	0	8.5	
9027	0	8.25	
7763	1	10.5	
3826	0	7.25	
17626	0	9.5	
8588	1	16.5	
18080	1	9.0	
872	1	12.25	
18781	0	9.25	
3988	0	8.75	
17127	0	8.25	
8426	1	10.375	
7409	1	9.5	
14086	1	10.5	
4997	0	10.0	
10716	1	10.5	
7070	1	9.5	
4839	0	12.0	
8335	0	5.5	
10017	0	9.25	
14787	1	9.5	
15464	1	9.25	
6008	0	6.5	
14985	0	9.75	
6471	1	8.5	
9734	0	7.0	
10914	1	8.375	
1704	1	10.25	
15365	0	5.75	
5841	0	10.5	
1737	1	10.5	
15055	0	5.5	
6195	1	13.75	
5872	0	8.5	
9707	1	8.5	
6442	0	8.0	
1699	0	10.5	
15754	1	12.75	
15956	1	8.5	
7594	0	9.25	
8306	1	10.5	
10327	1	8.5	
10426	0	8.5	
7043	0	9.25	
800	1	12.5	
10246	1	21.5	
7025	1	9.75	
15837	2	36.25	
8719	1	8.5	
8360	1	18.0	
10547	1	9.5	
18289	1	34.0	
76	0	9.5	
6424	0	6.5	
1286	1	9.5	
15134	1	8.5	
1751	1	18.0	
15635	1	9.5	
118	0	10.0	
5814	1	11.5	
9318	1	8.25	
9761	0	10.5	
18588	1	9.5	
1328	1	8.5	
9752	1	9.5	
11295	1	16.0	
1762	0	9.375	
15505	0	8.5	
5827	0	9.25	
5989	1	9.25	
9285	1	16.5	
15204	0	9.25	
6417	0	9.25	
10875	1	9.5	
11594	1	10.5	
8353	1	8.5	
10677	0	7.25	
731	0	9.5	
8684	1	9.5	
10176	0	10.25	
7016	1	15.375	
7174	0	7.25	
11756	1	10.5	
4893	0	9.5	
8648	0	9.5	
11057	0	11.5	
8231	1	19.0	
6575	0	6.25	
14424	0	9.25	
5945	0	9.0	
9249	0	9.25	
14325	0	10.5	
1600	1	13.5	
11954	1	15.125	
1279	1	11.0	
9630	1	10.25	
10785	0	8.5	
5976	0	9.0	
664	1	35.375	
6091	1	11.5	
14015	0	9.25	
1633	1	11.75	
14714	1	8.5	
18948	1	9.5	
10084	0	9.5	
6546	1	10.5	
11367	1	16.25	
8202	1	11.0	
7490	0	9.0	
14916	1	19.5	
7147	0	9.5	
10987	0	9.0	
11466	1	15.0	
15596	1	9.25	
14877	1	15.5	
7558	1	26.0	
7121	1	12.5	
11206	1	11.5	
11507	1	10.75	
4968	1	9.25	
8264	0	9.5	
15297	0	9.25	
6159	1	9.5	
14174	1	17.25	
1382	1	9.5	
6520	1	21.75	
18829	1	21.375	
