ParentPhenotype line ParentGenotype MutantPhenotype MutantGenotype KC_col1 KC_col4 Conditional_Complexity
0111100000000000000 47 733770022753464 111111000000000000 033770022753464 14.87 12.51 13.80
0111100000000000000 47 733770022753464 111111000000000000 133770022753464 14.87 12.51 13.80
0111100000000000000 47 733770022753464 111110000000000000 233770022753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111110000000000000 333770022753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111110000000000000 433770022753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111110000000000000 533770022753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111110000000000000 633770022753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111000000000000001 703770022753464 14.87 14.59 13.80
0111100000000000000 47 733770022753464 111100000000000000 713770022753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111100000000000000 723770022753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111110000000000000 743770022753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111110000000000000 753770022753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111110000000000000 763770022753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111110000000000000 773770022753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111000000000000001 730770022753464 14.87 14.59 13.80
0111100000000000000 47 733770022753464 111000000000000001 731770022753464 14.87 14.59 13.80
0111100000000000000 47 733770022753464 111100000000000000 732770022753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111110000000000000 734770022753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111110000000000000 735770022753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111110000000000000 736770022753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111110000000000000 737770022753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111111111000000000 733070022753464 14.87 12.51 13.80
0111100000000000000 47 733770022753464 111111100000000000 733170022753464 14.87 12.51 13.80
0111100000000000000 47 733770022753464 111111000000000000 733270022753464 14.87 12.51 13.80
0111100000000000000 47 733770022753464 111110000000000000 733370022753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111110000000000000 733470022753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111110000000000000 733570022753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111110000000000000 733670022753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111110000000000001 733700022753464 14.87 14.59 13.80
0111100000000000000 47 733770022753464 111110000000000000 733710022753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111100000000000000 733720022753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111100000000000000 733730022753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111100000000000000 733740022753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111100000000000000 733750022753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111100000000000000 733760022753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111110000000000000 733771022753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111110000000000000 733772022753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111110000000000000 733773022753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111110000000000000 733774022753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111110000000000000 733775022753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111111000000000000 733776022753464 14.87 12.51 13.80
0111100000000000000 47 733770022753464 111111000000000000 733777022753464 14.87 12.51 13.80
0111100000000000000 47 733770022753464 111111110000000000 733770122753464 14.87 12.51 13.80
0111100000000000000 47 733770022753464 111111111110000000 733770222753464 14.87 12.51 13.80
0111100000000000000 47 733770022753464 111111111111100000 733770322753464 14.87 12.51 13.80
0111100000000000000 47 733770022753464 111111111111111100 733770422753464 14.87 12.51 13.80
0111100000000000000 47 733770022753464 111111111111111111 733770522753464 14.87 4.17 8.50
0111100000000000000 47 733770022753464 111111111111111111 733770622753464 14.87 4.17 8.50
0111100000000000000 47 733770022753464 111111111111111111 733770722753464 14.87 4.17 8.50
0111100000000000000 47 733770022753464 111100000000000000 733770002753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111100000000000000 733770012753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111100000000000000 733770032753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111100000000000000 733770042753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111100000000000000 733770052753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111100000000000000 733770062753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111100000000000000 733770072753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111111111100000000 733770020753464 14.87 12.51 13.80
0111100000000000000 47 733770022753464 111111000000000000 733770021753464 14.87 12.51 13.80
0111100000000000000 47 733770022753464 111100000000000000 733770023753464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111000000000000001 733770024753464 14.87 14.59 13.80
0111100000000000000 47 733770022753464 111000000000000011 733770025753464 14.87 16.68 16.40
0111100000000000000 47 733770022753464 110000000000000011 733770026753464 14.87 16.68 11.10
0111100000000000000 47 733770022753464 110000000000000111 733770027753464 14.87 16.68 16.40
0111100000000000000 47 733770022753464 111111111111111111 733770022053464 14.87 4.17 8.50
0111100000000000000 47 733770022753464 111111111111110000 733770022153464 14.87 12.51 13.80
0111100000000000000 47 733770022753464 111111111100000000 733770022253464 14.87 12.51 13.80
0111100000000000000 47 733770022753464 111111110000000000 733770022353464 14.87 12.51 13.80
0111100000000000000 47 733770022753464 111111100000000000 733770022453464 14.87 12.51 13.80
0111100000000000000 47 733770022753464 111111000000000000 733770022553464 14.87 12.51 13.80
0111100000000000000 47 733770022753464 111110000000000000 733770022653464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111000000000000000 733770022703464 14.87 12.51 11.10
0111100000000000000 47 733770022753464 111100000000000000 733770022713464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111100000000000000 733770022723464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111100000000000000 733770022733464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111100000000000000 733770022743464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111110000000000000 733770022763464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111110000000000000 733770022773464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111111111111000000 733770022750464 14.87 12.51 13.80
0111100000000000000 47 733770022753464 111111100000000000 733770022751464 14.87 12.51 13.80
0111100000000000000 47 733770022753464 111110000000000000 733770022752464 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111100000000000011 733770022754464 14.87 16.68 16.40
0111100000000000000 47 733770022753464 111000000000001111 733770022755464 14.87 16.68 16.40
0111100000000000000 47 733770022753464 111000000000111111 733770022756464 14.87 16.68 16.40
0111100000000000000 47 733770022753464 111000000001111111 733770022757464 14.87 16.68 16.40
0111100000000000000 47 733770022753464 111100000000000000 733770022753064 14.87 12.51 8.50
0111100000000000000 47 733770022753464 111100000000000000 733770022753164 14.87 12.51 8.50
