ParentPhenotype line ParentGenotype MutantPhenotype MutantGenotype KC_col1 KC_col4 Conditional_Complexity
0100000000000000001 24387 204247216507216 110000000000000001 004247216507216 16.99 14.59 11.70
0100000000000000001 24387 204247216507216 110000000000000001 104247216507216 16.99 14.59 11.70
0100000000000000001 24387 204247216507216 100000000000000001 304247216507216 16.99 12.51 6.40
0100000000000000001 24387 204247216507216 100000000000000001 404247216507216 16.99 12.51 6.40
0100000000000000001 24387 204247216507216 100000000000000001 504247216507216 16.99 12.51 6.40
0100000000000000001 24387 204247216507216 100000000000000001 604247216507216 16.99 12.51 6.40
0100000000000000001 24387 204247216507216 100000000000000000 704247216507216 16.99 10.42 6.40
0100000000000000001 24387 204247216507216 110000000000000001 214247216507216 16.99 14.59 11.70
0100000000000000001 24387 204247216507216 110000000000000001 224247216507216 16.99 14.59 11.70
0100000000000000001 24387 204247216507216 110000000000000001 234247216507216 16.99 14.59 11.70
0100000000000000001 24387 204247216507216 110000000000000001 244247216507216 16.99 14.59 11.70
0100000000000000001 24387 204247216507216 110000000000000001 254247216507216 16.99 14.59 11.70
0100000000000000001 24387 204247216507216 111000000000000001 264247216507216 16.99 14.59 14.30
0100000000000000001 24387 204247216507216 111000000000000001 274247216507216 16.99 14.59 14.30
0100000000000000001 24387 204247216507216 100000000000000000 200247216507216 16.99 10.42 6.40
0100000000000000001 24387 204247216507216 100000000000000000 201247216507216 16.99 10.42 6.40
0100000000000000001 24387 204247216507216 100000000000000001 202247216507216 16.99 12.51 6.40
0100000000000000001 24387 204247216507216 100000000000000001 203247216507216 16.99 12.51 6.40
0100000000000000001 24387 204247216507216 100000000000000001 205247216507216 16.99 12.51 6.40
0100000000000000001 24387 204247216507216 100000000000000001 206247216507216 16.99 12.51 6.40
0100000000000000001 24387 204247216507216 110000000000000001 207247216507216 16.99 14.59 11.70
0100000000000000001 24387 204247216507216 110000000000000001 204047216507216 16.99 14.59 11.70
0100000000000000001 24387 204247216507216 110000000000000001 204147216507216 16.99 14.59 11.70
0100000000000000001 24387 204247216507216 100000000000000001 204347216507216 16.99 12.51 6.40
0100000000000000001 24387 204247216507216 100000000000000001 204447216507216 16.99 12.51 6.40
0100000000000000001 24387 204247216507216 100000000000000001 204547216507216 16.99 12.51 6.40
0100000000000000001 24387 204247216507216 100000000000000001 204647216507216 16.99 12.51 6.40
0100000000000000001 24387 204247216507216 100000000000000001 204747216507216 16.99 12.51 6.40
0100000000000000001 24387 204247216507216 110000000000000000 204207216507216 16.99 12.51 9.00
0100000000000000001 24387 204247216507216 110000000000000001 204217216507216 16.99 14.59 11.70
0100000000000000001 24387 204247216507216 100000000000000001 204227216507216 16.99 12.51 6.40
0100000000000000001 24387 204247216507216 100000000000000001 204237216507216 16.99 12.51 6.40
0100000000000000001 24387 204247216507216 100000000000000001 204257216507216 16.99 12.51 6.40
0100000000000000001 24387 204247216507216 100000000000000001 204267216507216 16.99 12.51 6.40
0100000000000000001 24387 204247216507216 100000000000000001 204277216507216 16.99 12.51 6.40
0100000000000000001 24387 204247216507216 110000000000000001 204240216507216 16.99 14.59 11.70
0100000000000000001 24387 204247216507216 110000000000000001 204241216507216 16.99 14.59 11.70
0100000000000000001 24387 204247216507216 100000000000000001 204242216507216 16.99 12.51 6.40
0100000000000000001 24387 204247216507216 100000000000000001 204243216507216 16.99 12.51 6.40
0100000000000000001 24387 204247216507216 100000000000000001 204244216507216 16.99 12.51 6.40
0100000000000000001 24387 204247216507216 100000000000000001 204245216507216 16.99 12.51 6.40
0100000000000000001 24387 204247216507216 100000000000000001 204246216507216 16.99 12.51 6.40
0100000000000000001 24387 204247216507216 111111111100000000 204247016507216 16.99 12.51 11.70
0100000000000000001 24387 204247216507216 100000000000000001 204247116507216 16.99 12.51 6.40
0100000000000000001 24387 204247216507216 110000000000000001 204247316507216 16.99 14.59 11.70
0100000000000000001 24387 204247216507216 110000000000000001 204247416507216 16.99 14.59 11.70
0100000000000000001 24387 204247216507216 110000000000000001 204247516507216 16.99 14.59 11.70
0100000000000000001 24387 204247216507216 110000000000000001 204247616507216 16.99 14.59 11.70
0100000000000000001 24387 204247216507216 110000000000000001 204247716507216 16.99 14.59 11.70
