"parent"                "count"
0100000000000000000	15
0100000000000000001	7
0100000000000000011	2
0100000000000000111	6
0100000000000001111	8
0100000000000011111	11
0100000000000111111	18
0100000000001111111	21
0100000000011111111	20
0100000000111111111	20
0100000001111111111	8
0100000011111111111	3
0101111111111111111	2
0110000000000000000	330
0110000000000000001	91
0110000000000000011	102
0110000000000000111	112
0110000000000001111	156
0110000000000011111	208
0110000000000111111	231
0110000000001111111	243
0110000000011111111	166
0110000000111111111	70
0110000001111111111	14
0110011111111111111	6
0110111111111111111	25
0111000000000000000	1158
0111000000000000001	232
0111000000000000011	332
0111000000000000111	340
0111000000000001111	420
0111000000000011111	408
0111000000000111111	412
0111000000001111111	300
0111000000011000000	1
0111000000011111000	1
0111000000011111100	2
0111000000011111111	133
0111000000111111000	2
0111000000111111111	23
0111000001110000000	2
0111000001111111000	1
0111000001111111111	6
0111001111111111111	12
0111010111111111111	1
0111011111111111111	25
0111100000000000000	2049
0111100000000000001	362
0111100000000000011	473
0111100000000000111	534
0111100000000001111	511
0111100000000011100	1
0111100000000011111	461
0111100000000111111	325
0111100000001000000	1
0111100000001111111	130
0111100000011111111	47
0111100000111111111	4
0111100001111111111	2
0111100011100000000	1
0111100011110000000	1
0111100011111111111	2
0111100101111111111	1
0111100110101111100	1
0111100110111111111	2
0111100111011100110	1
0111100111101001010	1
0111100111101111111	1
0111100111111111111	9
0111101011111111111	3
0111101101111111111	1
0111101111111111111	27
0111110000000000000	2639
0111110000000000001	450
0111110000000000011	539
0111110000000000111	540
0111110000000001111	476
0111110000000011100	1
0111110000000011111	342
0111110000000111111	175
0111110000001111111	44
0111110000010000000	1
0111110000011000000	1
0111110000011110000	1
0111110000011111000	1
0111110000011111100	1
0111110000011111111	3
0111110000111110000	1
0111110001001111010	1
0111110001011101100	1
0111110001011111001	1
0111110001011111111	1
0111110001100111111	1
0111110001101111111	1
0111110001111001111	1
0111110001111010101	1
0111110001111101101	1
0111110001111111111	1
0111110010101100110	1
0111110010111001010	1
0111110010111111111	3
0111110011001111111	1
0111110011010000011	1
0111110011010011111	1
0111110011011111111	1
0111110011101101100	1
0111110011101111111	1
0111110011110011111	1
0111110011110101010	1
0111110011111000000	1
0111110011111101010	1
0111110011111110011	1
0111110011111111010	1
0111110011111111111	4
0111110101011001000	1
0111110101101111011	1
0111110101111111111	3
0111110111100000000	1
0111110111111000101	1
0111110111111011010	1
0111110111111101000	1
0111110111111111111	4
0111111000000000000	3023
0111111000000000001	473
0111111000000000011	508
0111111000000000111	499
0111111000000001111	340
0111111000000011111	162
0111111000000111111	37
0111111000001111111	2
0111111000011000000	1
0111111000011111111	3
0111111000101110110	1
0111111000110101111	1
0111111000110111111	1
0111111000111001111	1
0111111000111010011	1
0111111000111100101	1
0111111001011011011	1
0111111001101111111	1
0111111001111111111	2
0111111010010110010	1
0111111010111011111	1
0111111011011010111	1
0111111011110110010	1
0111111011110111101	1
0111111100000000000	3320
0111111100000000001	450
0111111100000000011	396
0111111100000000111	292
0111111100000001111	136
0111111100000011111	47
0111111100000111111	2
0111111100001001110	1
0111111100001101011	2
0111111100001111100	1
0111111100001111111	2
0111111100011101110	1
0111111100011111111	1
0111111100101100101	1
0111111100101111111	1
0111111100110011001	1
0111111100110110101	1
0111111100111001010	1
0111111100111111111	2
0111111101010011011	1
0111111101010110111	1
0111111101110000011	1
0111111101110100000	1
0111111101111000000	1
0111111101111111111	1
0111111110000000000	3456
0111111110000000001	360
0111111110000000011	247
0111111110000000111	123
0111111110000001111	34
0111111110000011111	3
0111111110000111110	1
0111111110001111101	1
0111111110001111111	2
0111111110010001110	1
0111111110010101101	1
0111111110010111111	1
0111111110011110001	1
0111111110011111111	2
0111111110100101110	1
0111111110101010000	1
0111111110101111111	1
0111111110110000000	1
0111111110110000101	1
0111111110110101000	1
0111111110110101101	1
0111111110111001101	1
0111111110111111111	1
0111111111000000000	3522
0111111111000000001	227
0111111111000000011	123
0111111111000000111	25
0111111111000111010	1
0111111111000111110	1
0111111111000111111	1
0111111111001010010	1
0111111111001111010	1
0111111111001111110	1
0111111111001111111	2
0111111111011100011	1
0111111111011101010	1
0111111111011111001	1
0111111111011111111	1
0111111111100000000	3307
0111111111100000001	112
0111111111100000011	26
0111111111100000111	2
0111111111100001111	3
0111111111100100000	1
0111111111100101001	1
0111111111100111010	1
0111111111101000111	2
0111111111101011111	1
0111111111101100010	1
0111111111101101000	1
0111111111101101101	1
0111111111101111111	1
0111111111110000000	3070
0111111111110000001	25
0111111111110000011	1
0111111111110000111	2
0111111111110001011	2
0111111111110001111	1
0111111111110011011	1
0111111111110011110	1
0111111111110011111	1
0111111111110101001	1
0111111111110101010	1
0111111111111000000	2816
0111111111111000001	2
0111111111111000111	3
0111111111111001111	2
0111111111111011001	2
0111111111111011111	1
0111111111111100000	2543
0111111111111100001	3
0111111111111100011	2
0111111111111100111	2
0111111111111101010	1
0111111111111101111	2
0111111111111110000	2274
0111111111111110001	2
0111111111111110011	3
0111111111111110110	1
0111111111111111000	2196
0111111111111111001	1
0111111111111111011	1
0111111111111111100	1925
0111111111111111110	1899
0111111111111111111	43646
