ParentPhenotyope MutantPhenotype proportion KC_col1 KC_col4 Conditional_Complexity
 1111111111111111 0100011111100010 0.03474583333333333 4.00 24.00 35.00
 1111111111111111 0010111001110100 0.035166666666666666 4.00 24.00 35.00
 1111111111111111 1000100000000000 0.0 4.00 16.00 22.50
 1111111111111111 1100010000000000 0.0 4.00 16.00 22.50
 1111111111111111 1110101011100000 0.0 4.00 20.00 25.00
 1111111111111111 1110000000000000 0.0 4.00 12.00 15.00
 1111111111111111 1100111001100000 0.0104375 4.00 20.00 27.50
 1111111111111111 0110111011000000 0.010395833333333333 4.00 22.00 27.50
 1111111111111111 1100100000000000 0.0 4.00 16.00 22.50
 1111111111111111 1110010000000000 0.0 4.00 18.00 22.50
 1111111111111111 1111111111111111 0.0991625 4.00 4.00 5.00
 1111111111111111 0100110000000000 0.0 4.00 20.00 27.50
 1111111111111111 1000100010000000 0.0 4.00 16.00 22.50
 1111111111111111 0100110001000000 0.0 4.00 22.00 27.50
 1111111111111111 1000110000000000 0.0 4.00 18.00 25.00
 1111111111111111 0100111000000000 0.0 4.00 20.00 27.50
 1111111111111111 1000110010000000 0.0 4.00 20.00 27.50
 1111111111111111 0100111001000000 0.0 4.00 20.00 30.00
 1111111111111111 0110111111110110 0.0 4.00 24.00 27.50
 0100110000000000 0000000000000000 0.33573333333333333 20.00 4.00 25.00
 0100110000000000 1000000000000000 0.1050625 20.00 10.00 30.00
 0100110000000000 1100000000000000 0.09320416666666667 20.00 12.00 32.50
 0100110000000000 1100110000000000 0.012608333333333333 20.00 18.00 30.00
 0100110000000000 0100011111100010 0.0038458333333333335 20.00 24.00 45.00
 0100110000000000 0010111001110100 0.0038166666666666666 20.00 24.00 42.50
 0100110000000000 1000100000000000 0.09331666666666667 20.00 16.00 32.50
 0100110000000000 1100010000000000 0.0 20.00 16.00 32.50
 0100110000000000 1110101011100000 0.007925 20.00 20.00 42.50
 0100110000000000 1110000000000000 0.0 20.00 12.00 32.50
 0100110000000000 1100111001100000 0.0 20.00 20.00 37.50
 0100110000000000 0110111011000000 0.0 20.00 22.00 42.50
 0100110000000000 1100100000000000 0.0012041666666666668 20.00 16.00 32.50
 0100110000000000 1110010000000000 0.0 20.00 18.00 35.00
 0100110000000000 1111111111111111 0.0 20.00 4.00 30.00
 0100110000000000 0100110000000000 0.2937125 20.00 20.00 30.00
 0100110000000000 1000100010000000 0.0 20.00 16.00 32.50
 0100110000000000 0100110001000000 0.020958333333333332 20.00 22.00 35.00
 0100110000000000 1000110000000000 0.0 20.00 18.00 35.00
 0100110000000000 0100111000000000 0.020783333333333334 20.00 20.00 35.00
 0100110000000000 1000110010000000 0.0 20.00 20.00 37.50
 0100110000000000 0100111001000000 0.0 20.00 20.00 37.50
 0100110000000000 0110111111110110 0.007829166666666667 20.00 24.00 45.00
 1000100010000000 0000000000000000 0.29359583333333333 16.00 4.00 20.00
 1000100010000000 1000000000000000 0.10504166666666667 16.00 10.00 25.00
 1000100010000000 1100000000000000 0.00765 16.00 12.00 30.00
 1000100010000000 1100110000000000 0.0048916666666666666 16.00 18.00 32.50
 1000100010000000 0100011111100010 0.0076625 16.00 24.00 40.00
 1000100010000000 0010111001110100 0.0076625 16.00 24.00 42.50
 1000100010000000 1000100000000000 0.17835 16.00 16.00 25.00
 1000100010000000 1100010000000000 0.0 16.00 16.00 30.00
 1000100010000000 1110101011100000 0.0157 16.00 20.00 37.50
 1000100010000000 1110000000000000 0.0012416666666666667 16.00 12.00 30.00
 1000100010000000 1100111001100000 0.0214 16.00 20.00 37.50
 1000100010000000 0110111011000000 0.020983333333333333 16.00 22.00 37.50
 1000100010000000 1100100000000000 0.0 16.00 16.00 30.00
 1000100010000000 1110010000000000 0.0 16.00 18.00 35.00
 1000100010000000 1111111111111111 0.0 16.00 4.00 25.00
 1000100010000000 0100110000000000 0.0 16.00 20.00 35.00
 1000100010000000 1000100010000000 0.29412083333333333 16.00 16.00 25.00
 1000100010000000 0100110001000000 0.020608333333333333 16.00 22.00 32.50
 1000100010000000 1000110000000000 0.0 16.00 18.00 32.50
 1000100010000000 0100111000000000 0.0 16.00 20.00 32.50
 1000100010000000 1000110010000000 0.02109166666666667 16.00 20.00 30.00
 1000100010000000 0100111001000000 0.0 16.00 20.00 35.00
 1000100010000000 0110111111110110 0.0 16.00 24.00 40.00
 0100110001000000 0000000000000000 0.32342916666666666 22.00 4.00 27.50
 0100110001000000 1000000000000000 0.1133875 22.00 10.00 32.50
 0100110001000000 1100000000000000 0.005408333333333334 22.00 12.00 35.00
 0100110001000000 1100110000000000 0.003075 22.00 18.00 37.50
 0100110001000000 0100011111100010 0.0 22.00 24.00 45.00
 0100110001000000 0010111001110100 0.0 22.00 24.00 47.50
 0100110001000000 1000100000000000 0.0 22.00 16.00 35.00
 0100110001000000 1100010000000000 0.09179583333333333 22.00 16.00 32.50
 0100110001000000 1110101011100000 0.0 22.00 20.00 45.00
 0100110001000000 1110000000000000 0.0 22.00 12.00 37.50
 0100110001000000 1100111001100000 0.0 22.00 20.00 40.00
 0100110001000000 0110111011000000 0.0 22.00 22.00 45.00
 0100110001000000 1100100000000000 0.0 22.00 16.00 37.50
 0100110001000000 1110010000000000 0.0 22.00 18.00 40.00
 0100110001000000 1111111111111111 0.0 22.00 4.00 32.50
 0100110001000000 0100110000000000 0.09179583333333333 22.00 20.00 37.50
 0100110001000000 1000100010000000 0.09179583333333333 22.00 16.00 32.50
 0100110001000000 0100110001000000 0.2477375 22.00 22.00 32.50
 0100110001000000 1000110000000000 0.0 22.00 18.00 40.00
 0100110001000000 0100111000000000 0.0 22.00 20.00 40.00
 0100110001000000 1000110010000000 0.0 22.00 20.00 37.50
 0100110001000000 0100111001000000 0.020816666666666667 22.00 20.00 37.50
 0100110001000000 0110111111110110 0.010758333333333333 22.00 24.00 47.50
 1000110000000000 0000000000000000 0.3339958333333333 18.00 4.00 22.50
 1000110000000000 1000000000000000 0.10483333333333333 18.00 10.00 27.50
 1000110000000000 1100000000000000 0.09330833333333333 18.00 12.00 27.50
 1000110000000000 1100110000000000 0.01265 18.00 18.00 32.50
 1000110000000000 0100011111100010 0.003779166666666667 18.00 24.00 40.00
 1000110000000000 0010111001110100 0.004066666666666666 18.00 24.00 40.00
 1000110000000000 1000100000000000 0.09332916666666667 18.00 16.00 30.00
 1000110000000000 1100010000000000 0.0012416666666666667 18.00 16.00 30.00
 1000110000000000 1110101011100000 0.007575 18.00 20.00 37.50
 1000110000000000 1110000000000000 0.0 18.00 12.00 30.00
 1000110000000000 1100111001100000 0.0 18.00 20.00 37.50
 1000110000000000 0110111011000000 0.0 18.00 22.00 37.50
 1000110000000000 1100100000000000 0.0 18.00 16.00 30.00
 1000110000000000 1110010000000000 0.0 18.00 18.00 32.50
 1000110000000000 1111111111111111 0.0 18.00 4.00 25.00
 1000110000000000 0100110000000000 0.0 18.00 20.00 30.00
 1000110000000000 1000100010000000 0.0 18.00 16.00 30.00
 1000110000000000 0100110001000000 0.0 18.00 22.00 32.50
 1000110000000000 1000110000000000 0.2949041666666667 18.00 18.00 27.50
 1000110000000000 0100111000000000 0.021329166666666666 18.00 20.00 32.50
 1000110000000000 1000110010000000 0.021066666666666668 18.00 20.00 32.50
 1000110000000000 0100111001000000 0.0 18.00 20.00 35.00
 1000110000000000 0110111111110110 0.007920833333333334 18.00 24.00 40.00
 0100111000000000 0000000000000000 0.3238375 20.00 4.00 25.00
 0100111000000000 1000000000000000 0.1132125 20.00 10.00 32.50
 0100111000000000 1100000000000000 0.0 20.00 12.00 32.50
 0100111000000000 1100110000000000 0.00325 20.00 18.00 35.00
 0100111000000000 0100011111100010 0.0 20.00 24.00 45.00
 0100111000000000 0010111001110100 0.0 20.00 24.00 42.50
 0100111000000000 1000100000000000 0.005358333333333333 20.00 16.00 35.00
 0100111000000000 1100010000000000 0.0 20.00 16.00 35.00
 0100111000000000 1110101011100000 0.0 20.00 20.00 42.50
 0100111000000000 1110000000000000 0.09170833333333334 20.00 12.00 32.50
 0100111000000000 1100111001100000 0.0 20.00 20.00 37.50
 0100111000000000 0110111011000000 0.0 20.00 22.00 42.50
 0100111000000000 1100100000000000 0.0 20.00 16.00 32.50
 0100111000000000 1110010000000000 0.0 20.00 18.00 35.00
 0100111000000000 1111111111111111 0.0 20.00 4.00 30.00
 0100111000000000 0100110000000000 0.09170833333333334 20.00 20.00 35.00
 0100111000000000 1000100010000000 0.0 20.00 16.00 35.00
 0100111000000000 0100110001000000 0.0 20.00 22.00 37.50
 0100111000000000 1000110000000000 0.09170833333333334 20.00 18.00 35.00
 0100111000000000 0100111000000000 0.24807916666666666 20.00 20.00 30.00
 0100111000000000 1000110010000000 0.0 20.00 20.00 37.50
 0100111000000000 0100111001000000 0.020670833333333333 20.00 20.00 35.00
 0100111000000000 0110111111110110 0.010466666666666668 20.00 24.00 45.00
 1000000000000000 0000000000000000 0.15556666666666666 10.00 4.00 12.50
 1000000000000000 1000000000000000 0.6799625 10.00 10.00 17.50
 1000000000000000 1100000000000000 0.038329166666666664 10.00 12.00 20.00
 1000000000000000 1100110000000000 0.060754166666666665 10.00 18.00 25.00
 1000000000000000 0100011111100010 0.0030583333333333335 10.00 24.00 32.50
 1000000000000000 0010111001110100 0.0031541666666666667 10.00 24.00 35.00
 1000000000000000 1000100000000000 0.03914583333333333 10.00 16.00 22.50
 1000000000000000 1100010000000000 0.0027875 10.00 16.00 25.00
 1000000000000000 1110101011100000 0.0 10.00 20.00 30.00
 1000000000000000 1110000000000000 0.0023875 10.00 12.00 22.50
 1000000000000000 1100111001100000 0.00115 10.00 20.00 30.00
 1000000000000000 0110111011000000 0.0012041666666666668 10.00 22.00 30.00
 1000000000000000 1100100000000000 0.0026708333333333332 10.00 16.00 25.00
 1000000000000000 1110010000000000 0.0005166666666666667 10.00 18.00 27.50
 1000000000000000 1111111111111111 0.0 10.00 4.00 17.50
 1000000000000000 0100110000000000 0.0023791666666666666 10.00 20.00 25.00
 1000000000000000 1000100010000000 0.00255 10.00 16.00 22.50
 1000000000000000 0100110001000000 0.0006583333333333334 10.00 22.00 27.50
 1000000000000000 1000110000000000 0.002608333333333333 10.00 18.00 25.00
 1000000000000000 0100111000000000 0.0005041666666666667 10.00 20.00 25.00
 1000000000000000 1000110010000000 0.0005291666666666667 10.00 20.00 27.50
 1000000000000000 0100111001000000 8.333333333333333e-05 10.00 20.00 27.50
 1000000000000000 0110111111110110 0.0 10.00 24.00 32.50
 1000110010000000 0000000000000000 0.3230458333333333 20.00 4.00 25.00
 1000110010000000 1000000000000000 0.1133 20.00 10.00 27.50
 1000110010000000 1100000000000000 0.005354166666666667 20.00 12.00 30.00
 1000110010000000 1100110000000000 0.0032333333333333333 20.00 18.00 35.00
 1000110010000000 0100011111100010 0.0 20.00 24.00 45.00
 1000110010000000 0010111001110100 0.0 20.00 24.00 45.00
 1000110010000000 1000100000000000 0.0 20.00 16.00 32.50
 1000110010000000 1100010000000000 0.0 20.00 16.00 32.50
 1000110010000000 1110101011100000 0.0 20.00 20.00 42.50
 1000110010000000 1110000000000000 0.0 20.00 12.00 35.00
 1000110010000000 1100111001100000 0.0 20.00 20.00 37.50
 1000110010000000 0110111011000000 0.0 20.00 22.00 40.00
 1000110010000000 1100100000000000 0.0918 20.00 16.00 27.50
 1000110010000000 1110010000000000 0.0 20.00 18.00 35.00
 1000110010000000 1111111111111111 0.0 20.00 4.00 30.00
